first,last,team,cost,total_points,goals_scored,assists,clean_sheets,minutes,popularity,play_chance
João,Neves Virgínia,8,3.8,0,0,0,0,0,0.8,
Michael,Keane,8,3.8,42,3,0,2,956,4.2,100.0
Neal,Maupay,8,4.9,0,0,0,0,0,0.2,0.0
Dwight,McNeil,8,5.1,92,4,8,5,1352,1.5,100.0
Vitalii,Mykolenko,8,4.4,112,1,2,10,2992,7.2,100.0
Iliman,Ndiaye,8,5.2,112,9,0,14,2351,1.1,100.0
Nathan,Patterson,8,4.4,14,0,1,0,342,0.0,100.0
Jordan,Pickford,8,5.2,147,0,1,11,3330,16.7,
James,Tarkowski,8,4.8,105,1,1,10,2922,1.7,0.0
Youssef,Ramalho Chermiti,8,4.9,3,0,0,0,42,0.0,100.0
Ashley,Young,8,4.2,93,1,4,8,1774,1.4,100.0
Carlos,Alcaraz Durán,8,4.7,34,1,3,0,691,0.1,100.0
Jesper,Lindstrøm,8,5.0,44,0,1,6,1229,0.1,0.0
Jake,O'Brien,8,4.5,59,2,0,4,1478,1.0,100.0
Harrison,Armstrong,8,4.4,2,0,0,0,47,0.1,0.0
Jenson,Metcalfe,8,4.5,0,0,0,0,0,0.0,0.0
Asmir,Begovic,8,4.0,0,0,0,0,0,0.2,
Roman,Dixon,8,3.9,0,0,0,0,90,0.1,
Orel,Mangala,8,5.0,39,1,0,5,1257,0.0,0.0
Callum,Bates,8,4.5,0,0,0,0,0,0.0,
Martin,Sherif,8,4.5,0,0,0,0,0,0.1,
David,Moyes,8,0.5,118,0,0,0,0,8.2,
Isaac,Heath,8,4.5,0,0,0,0,0,0.0,
Coby,Ebere,8,4.5,0,0,0,0,0,0.0,
Reiss,Nelson,9,5.0,27,1,1,1,483,0.0,0.0
Emile,Smith Rowe,9,5.1,113,6,3,7,2007,7.3,100.0
Joachim,Andersen,9,4.2,50,0,0,4,2583,3.4,100.0
Adama,Traoré,9,4.5,93,2,8,3,1683,1.4,100.0
Andreas,Hoelgebaum Pereira,9,4.9,79,2,6,5,1944,0.8,100.0
Calvin,Bassey,9,4.5,75,1,0,5,3074,0.6,100.0
Steven,Benda,9,3.9,0,0,0,0,0,0.3,
Tom,Cairney,9,4.8,31,2,0,1,538,0.0,100.0
Timothy,Castagne,9,4.2,46,0,1,3,1642,0.9,0.0
Issa,Diop,9,4.3,31,0,0,1,1334,0.2,
Luke,Harris,9,4.5,0,0,0,0,0,0.0,0.0
Alex,Iwobi,9,5.5,155,9,6,6,2952,5.7,
Bernd,Leno,9,5.0,113,0,2,5,3330,3.0,
Saša,Lukić,9,4.8,54,0,2,4,2263,0.0,75.0
Kevin,Mbabu,9,4.0,0,0,0,0,0,0.1,0.0
Rodrigo,Muniz Carvalho,9,5.5,86,8,1,2,943,1.4,0.0
Raúl,Jiménez,9,5.3,145,12,3,7,2396,4.9,
Tim,Ream,9,4.5,0,0,0,0,0,0.0,0.0
Harrison,Reed,9,4.7,10,0,0,0,100,0.0,0.0
Antonee,Robinson,9,4.7,105,0,10,5,3076,16.0,75.0
Jay,Stansfield,9,5.0,1,0,0,0,1,0.0,0.0
Kenny,Tete,9,4.4,48,0,2,3,1683,0.2,100.0
Carlos Vinícius,Alves Morais,9,5.0,3,0,0,0,13,0.3,100.0
Harry,Wilson,9,5.2,76,6,2,2,1088,0.2,100.0
Ryan,Sessegnon,9,4.2,56,4,2,1,558,3.0,100.0
Jorge,Cuenca Barreno,9,4.4,8,0,0,0,259,0.0,100.0
Josh,King,9,4.4,9,0,0,1,109,0.1,
Martial,Godo,9,4.4,2,0,0,0,21,0.0,
Sander,Berge,9,5.0,52,0,0,4,2217,0.0,100.0
Samuel,Amissah,9,4.0,0,0,0,0,0,0.0,
Marco Alexandre,Saraiva da Silva,9,1.1,94,0,0,0,0,0.2,
Willian,Borges da Silva,9,5.0,13,0,0,1,251,0.0,
Julio,Enciso,10,5.4,59,2,3,2,1155,0.3,100.0
Ali,Al-Hamadi,10,4.7,8,0,0,0,125,0.2,0.0
Elkan,Baggott,10,4.0,0,0,0,0,0,0.0,0.0
Nathan,Broadhead,10,4.9,29,1,0,2,613,0.0,75.0
Cameron,Burgess,10,3.8,26,0,2,0,1540,1.9,100.0
Wes,Burns,10,4.7,30,0,1,1,922,0.0,0.0
Conor,Chaplin,10,5.1,39,1,2,1,776,0.1,100.0
Harry,Clarke,10,4.0,1,0,0,0,377,0.0,0.0
Leif,Davis,10,4.2,51,1,2,2,2652,0.9,100.0
Liam,Delap,10,5.6,132,12,2,3,2567,3.3,100.0
George,Edmundson,10,4.0,1,0,0,0,1,0.1,0.0
Jacob,Greaves,10,3.8,36,1,0,2,2115,2.3,100.0
Marcus,Myers-Harness,10,4.9,2,0,0,0,43,0.0,0.0
George,Hirst,10,5.4,44,3,1,0,576,0.0,100.0
Cameron,Humphreys,10,4.5,0,0,0,0,0,0.0,0.0
Omari,Giraud-Hutchinson,10,5.2,86,3,3,3,2495,0.3,100.0
Ben,Johnson,10,3.8,30,1,2,0,1346,1.9,100.0
Freddie,Ladapo,10,4.5,0,0,0,0,0,0.4,0.0
Massimo,Luongo,10,4.3,12,0,0,0,192,0.2,100.0
Sam,Morsy,10,4.8,65,1,1,2,2663,0.1,100.0
Corrie,Ndaba,10,4.0,0,0,0,0,0,0.0,0.0
Cieran,Slicker,10,3.9,0,0,0,0,0,0.6,
Jack,Taylor,10,4.8,37,1,0,0,825,0.0,100.0
Axel,Tuanzebe,10,3.9,26,0,1,1,1620,1.2,100.0
Christian,Walton,10,4.3,14,0,0,1,540,0.2,100.0
Luke,Woolfenden,10,3.9,18,0,0,1,1187,1.2,
Kalvin,Phillips,10,4.8,27,0,0,1,1231,0.1,0.0
Arijanet,Muric,10,4.4,49,0,0,1,1620,0.5,0.0
Jaden,Philogene,10,5.3,37,2,0,2,796,0.1,0.0
Conor,Townsend,10,3.9,11,0,1,0,334,0.5,50.0
Sam,Szmodics,10,5.7,53,4,0,2,976,0.1,50.0
Jens,Cajuste,10,4.5,58,1,0,1,1883,0.1,100.0
Dara,O'Shea,10,3.9,48,0,2,2,3032,1.2,100.0
Jack,Clarke,10,5.4,52,0,4,1,1141,0.0,
