first,last,team,cost,total_points,goals_scored,assists,clean_sheets,minutes,popularity,play_chance
Chiedozie,Ogbene,10,4.8,7,0,0,0,237,0.0,0.0
Ben,Godfrey,10,4.0,-1,0,0,0,158,0.0,
Kieran,McKenna,10,0.5,50,0,0,0,0,0.4,
Alex,Palmer,10,4.5,22,0,0,0,1170,0.1,
Somto,Boniface,10,4.0,0,0,0,0,0,0.0,
Tom,Taylor,10,4.5,0,0,0,0,0,0.0,
Facundo,Buonanotte,11,4.5,74,5,2,2,1490,0.4,100.0
Jordan,Ayew,11,5.1,73,5,0,4,1559,0.2,100.0
Odsonne,Edouard,11,5.1,7,0,0,0,141,0.2,100.0
Boubakary,Soumaré,11,4.4,46,0,0,1,2075,0.3,100.0
Tom,Cannon,11,4.5,0,0,0,0,0,0.3,0.0
Hamza,Choudhury,11,4.4,4,0,0,0,129,1.0,0.0
Conor,Coady,11,4.0,39,1,0,2,1622,0.4,100.0
Patson,Daka,11,4.8,32,1,0,0,646,0.5,100.0
Bobby,De Cordova-Reid,11,5.2,48,1,4,1,734,0.1,0.0
Wout,Faes,11,3.8,53,1,0,3,2722,5.0,100.0
Michael,Golding,11,4.4,1,0,0,0,1,0.2,
Mads,Hermansen,11,4.4,63,0,0,1,2385,0.4,0.0
Daniel,Iversen,11,3.9,0,0,0,0,0,0.7,
James,Justin,11,4.1,69,2,2,3,2822,1.1,100.0
Victor,Kristiansen,11,4.4,33,0,1,1,2393,0.1,100.0
Wanya,Marçal-Madivádua,11,4.5,0,0,0,0,0,0.0,0.0
Stephy,Mavididi,11,5.0,72,4,1,1,1606,0.3,0.0
Kasey,McAteer,11,4.7,33,1,1,3,761,0.0,100.0
Wilfred,Ndidi,11,4.9,64,0,5,3,2325,0.2,100.0
Caleb,Okoli,11,4.0,27,1,0,1,1122,0.4,100.0
Ricardo,Barbosa Pereira,11,4.1,10,0,0,0,364,0.1,75.0
Harry,Souttar,11,4.0,0,0,0,0,0,0.0,0.0
Jakub,Stolarczyk,11,4.0,23,0,0,2,810,0.5,100.0
Luke,Thomas,11,3.9,22,0,0,2,1038,1.4,
Jamie,Vardy,11,5.4,128,9,5,4,2825,6.2,100.0
Jannik,Vestergaard,11,3.9,11,0,0,0,1390,1.5,100.0
Danny,Ward,11,3.9,2,0,0,0,135,2.0,
Harry,Winks,11,4.3,40,0,2,0,1536,4.7,100.0
Oliver,Skipp,11,4.7,24,0,0,2,1047,0.0,
Abdul,Fatawu,11,5.1,26,0,2,0,576,0.2,0.0
Will,Alves,11,4.4,1,0,0,0,1,0.1,0.0
Ben,Nelson,11,4.0,0,0,0,0,0,0.0,0.0
Bilal,El Khannouss,11,4.8,83,2,4,3,2179,0.3,
Henry,Cartwright,11,4.5,0,0,0,0,0,0.0,
Thomas,Wilson-Brown,11,4.0,0,0,0,0,0,0.0,0.0
Woyo,Coulibaly,11,4.0,1,0,0,0,107,0.0,
Ruud,van Nistelrooij,11,0.5,48,0,0,0,0,0.5,
Jeremy,Monga,11,4.5,6,0,0,0,87,0.0,100.0
Olabade,Aluko,11,4.0,0,0,0,0,0,0.0,
Jake,Evans,11,4.5,3,0,0,0,17,0.0,
Alisson,Ramses Becker,12,5.5,105,0,0,10,2328,8.4,100.0
Trent,Alexander-Arnold,12,7.2,147,3,7,12,2317,16.7,100.0
Stefan,Bajčetić Maquieira,12,4.5,0,0,0,0,0,0.0,0.0
Conor,Bradley,12,4.7,36,0,1,3,623,1.0,100.0
Bobby,Clark,12,4.5,0,0,0,0,0,0.0,0.0
Darwin,Núñez Ribeiro,12,7.0,64,5,3,2,1057,1.9,100.0
Diogo,Teixeira da Silva,12,7.2,86,6,4,7,1154,2.6,100.0
Ben,Doak,12,4.5,0,0,0,0,0,0.0,0.0
Harvey,Elliott,12,5.2,19,0,1,0,264,0.2,100.0
Endo,Wataru,12,4.6,19,0,0,0,225,0.1,
Cody,Gakpo,12,7.2,118,10,4,5,1769,5.0,100.0
Joe,Gomez,12,4.7,14,0,0,1,517,0.4,25.0
Ryan,Gravenberch,12,5.0,91,0,4,14,3003,0.7,100.0
Curtis,Jones,12,5.3,84,3,5,6,1585,0.2,100.0
Caoimhin,Kelleher,12,3.9,45,0,0,4,900,1.2,
Ibrahima,Konaté,12,5.3,103,1,2,11,2410,7.1,100.0
Luis,Díaz,12,7.5,180,13,7,15,2298,17.1,100.0
Mohamed,Salah,12,13.6,332,28,18,15,3194,66.9,
Alexis,Mac Allister,12,6.2,122,5,6,14,2597,1.9,100.0
James,McConnell,12,4.3,0,0,0,0,0,0.1,100.0
Tyler,Morton,12,4.4,0,0,0,0,0,0.1,100.0
Nathaniel,Phillips,12,4.0,0,0,0,0,0,0.1,0.0
Jarell,Quansah,12,3.9,8,0,0,0,398,1.0,100.0
Rhys,Williams,12,4.0,0,0,0,0,0,0.0,0.0
Andrew,Robertson,12,5.8,89,0,1,10,2395,4.0,
Dominik,Szoboszlai,12,6.1,134,5,10,12,2362,2.6,100.0
Konstantinos,Tsimikas,12,4.6,42,0,1,4,739,0.2,100.0
Virgil,van Dijk,12,6.7,142,3,1,14,3240,25.7,
Federico,Chiesa,12,6.8,5,0,0,0,41,0.2,100.0
Vítezslav,Jaros,12,4.0,1,0,0,0,11,0.1,
Harvey,Davies,12,4.0,0,0,0,0,0,0.0,
Treymaurice,Nyoni,12,4.5,0,0,0,0,0,0.0,
Amara,Nallo,12,4.0,0,0,0,0,0,0.0,
Jayden,Danns,12,4.5,1,0,0,0,10,0.0,0.0
Arne,Slot,12,1.5,112,0,0,0,0,5.7,
Manuel,Akanji,13,5.3,53,0,0,5,1832,2.3,100.0
Nathan,Aké,13,5.3,25,0,0,3,677,0.8,50.0
Bernardo,Veiga de Carvalho e Silva,13,6.1,96,3,4,8,2487,2.7,100.0
Oscar,Bobb,13,4.7,2,0,0,0,13,0.1,50.0
Scott,Carson,13,3.9,0,0,0,0,0,0.2,
Kevin,De Bruyne,13,9.6,110,4,9,9,1621,14.1,100.0
Jérémy,Doku,13,6.2,84,3,6,7,1432,1.7,100.0
Ederson,Santana de Moraes,13,5.3,103,0,4,9,2140,5.6,100.0
Phil,Foden,13,9.1,104,7,3,6,1763,4.6,100.0
Jack,Grealish,13,6.4,37,1,1,2,709,0.2,100.0
Joško,Gvardiol,13,6.5,143,5,0,12,3098,37.8,100.0
